City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Lata,PT,2022-04-02 20:03:38,40.1629,-8.3327,44.74,57,35,3.78
223,Tuktoyaktuk,CA,2022-04-02 20:03:39,69.4541,-133.0374,-10.82,93,100,7.36
224,Kokopo,PG,2022-04-02 20:03:39,-4.352,152.2633,75.74,91,100,8.77
225,Baruun-Urt,MN,2022-04-02 20:04:39,46.6806,113.2792,34.09,34,0,8.55
226,Bengkulu,ID,2022-04-02 20:04:40,-3.8004,102.2655,75.6,81,100,5.39
227,Petropavlovka,RU,2022-04-02 20:04:40,50.6114,105.3196,34.2,57,10,5.12
228,Rawson,AR,2022-04-02 20:04:40,-43.3002,-65.1023,79.99,25,9,17.72
229,Skelleftea,SE,2022-04-02 20:00:09,64.7507,20.9528,30.56,48,23,6.91
230,Shahr-E Babak,IR,2022-04-02 20:04:41,30.1165,55.1186,62.47,13,0,2.66
231,Oistins,BB,2022-04-02 20:04:41,13.0667,-59.5333,79.36,71,47,19.51
232,Katsuura,JP,2022-04-02 20:04:42,35.1333,140.3,51.98,69,100,11.16
233,Payo,ID,2022-04-02 20:04:42,-3.7508,103.6372,73.04,93,96,2.28
234,Fort Nelson,CA,2022-04-02 20:04:42,58.8053,-122.7002,21.2,84,100,4.88
235,Deputatskiy,RU,2022-04-02 20:04:43,69.3,139.9,-20.99,100,100,2.01
236,Bougouni,ML,2022-04-02 20:04:43,11.417,-7.479,90.5,38,95,8.28
237,Quatre Cocos,MU,2022-04-02 20:04:44,-20.2078,57.7625,74.08,86,100,16.8
238,Nuevo Progreso,MX,2022-04-02 20:04:44,23.1667,-97.95,84.47,62,12,5.99
239,Bollnas,SE,2022-04-02 20:04:44,61.3482,16.3946,30.81,84,69,5.75
240,Loralai,PK,2022-04-02 20:04:45,30.3705,68.598,65.89,12,0,12.97
241,Santa Rosa,PH,2022-04-02 20:04:45,14.3122,121.1114,79.02,73,78,9.48
242,Puerto Madryn,AR,2022-04-02 20:04:45,-42.7692,-65.0385,81.72,21,18,25.19
